"",premise_id,total_animal,latitude,longitude,address,state,city,name,postal_code
1,376DQUF,1000,42.04312,-94.73784,"163, Fake Street",IL,Carthage,my_farm_name_B,62321
2,088WKFT,1000,41.99145,-103.34611,"677, Fake Street",NE,Edison,my_farm_name_C,68936
3,225ZGAJ,1000,41.90538,-97.56184,"154, Fake Street",MO,Bethany,my_farm_name_J,64424
4,180UCBY,1000,42.10786,-101.59227,"707, Fake Street",NE,Clay Center,my_farm_name_B,68933
5,582PHBR,1000,42.97002,-88.94877,"217, Fake Street",IN,Albion,my_farm_name_E,46701
6,360FDCZ,1000,44.33265,-96.68334,"308, Fake Street",IA,Hampton,my_farm_name_I,50441
7,733DTME,1000,43.07102,-99.01941,"026, Fake Street",IA,Shelby,my_farm_name_C,51570
8,715ELOH,1000,41.87143,-103.33981,"813, Fake Street",NE,Edison,my_farm_name_H,68936
9,325UDIW,1000,41.0829,-94.3104,"582, Fake Street",IL,Pittsfield,my_farm_name_B,62363
10,671HMJV,1000,39.67177,-90.09549,"501, Fake Street",IN,Leopold,my_farm_name_J,47551
11,778EYUX,1000,46.38174,-92.14026,"743, Fake Street",IA,Sheffield,my_farm_name_L,50475
12,464KBIF,1000,46.07227,-93.91527,"733, Fake Street",IA,Sac City,my_farm_name_R,50583
13,477EDVX,1000,45.88508,-94.49498,"028, Fake Street",IA,Battle Creek,my_farm_name_K,51006
14,611ULSK,1000,46.36619,-93.63721,"112, Fake Street",IA,Havelock,my_farm_name_M,50574
15,027RDXY,1000,45.03986,-84.37985,"012, Fake Street",IN,Wawaka,my_farm_name_S,46794
16,220FAPG,1000,46.22264,-93.76849,"834, Fake Street",IA,Fonda,my_farm_name_S,50540
17,554DGRT,1000,45.53324,-94.59197,"058, Fake Street",IA,Ute,my_farm_name_O,51060
18,853OBOV,1000,43.80099,-98.72475,"550, Fake Street",NE,Edison,my_farm_name_R,68936
19,453YIAE,1000,44.67619,-89.01749,"846, Fake Street",IL,Altona,my_farm_name_Q,61414
20,730AOYL,1000,42.391528,-86.477042,"613, Fake Street",IL,Flat Rock,my_farm_name_T,62427
